PROVIDER,CLASSIFICATION,DESCRIPTION,PRICE,UNIT
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clarithromycin 125mg,792,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clindamycin HCL 150mg,108,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clindamycin Phosphate 150mg/ml,162,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Cloxacillin 250mg,",45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cloxacillin 500 mg in vial,63,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cloxacillin 250mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cloxacillin 125mg/5mls,162,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Co-trimoxazole 400mg Sulphamethoxazole  +80mg  Trimethoprim,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Co-trimoxazole 800mg Sulphamethoxazole  +160mg Trimethoprim,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Co-trimoxazole Sulphamethoxazole   200 mg +40mg Trimethoprim /5ml.,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Doxycycline 100mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Erythromycin 250mg stearate or ethylsuccinate),13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Erythromycin 500mg (stearate or ethylsuccinate),27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Erythromycin 125mg/5ml (stearate or Ethylsuccinate),360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Gentamycin 80mg/mls, 40 mg/2mls (Sulphate)",18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Gentamycin 20mg/2ml,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Levofloxacin 250mg,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Levofloxacin 500mg,72,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Levofloxacin 500mg/100mls Infusion,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lincomycin 500 mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lincomycin 250mg/5ml,1035,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lincomycin 150 mg/ml in 2 ml,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metronidazole 200mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metronidazole 400mg,5.4,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metronidazole 200mg/5ml,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Metronidazole 500mg in 100ml bottle,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Nitrofurantoin 50mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Nitrofurantoin 100mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ofloxacin 200mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ofloxacin 200mg/100ml Infusion,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pefloxacin 400mg,72,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Phenoxymethyl- Penicillin 250mg,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Phenoxymethyl- Penicillin 250mg/5ml,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Rifampicin 150mg, 300mg",13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Secnidazole See section 6.1,324,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Sparfloxacin 200mg,63,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tetracycline 250mg (Hydrochloride),4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Tinidazole See section 6.1,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Clofazimine 50 mg, 100 mg",13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Dapsone 50mg, 100 mg",4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Rifampicin 300 mg,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Rifampicin 150 mg,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amphotericin B 50 mg/vial,3118.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Fluconazole 50 mg,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Fluconazole 150 mg,405,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Fluconazole 50mg/5ml,810,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Fluconazole I.V. 2 mg/ml in 0.9 % sodium chloride,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Griseofulvin 500mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Griseofulvin 125mg/ 5ml,405,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Itraconazole 100mg,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Itraconazole 10mg/ml,306,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ketoconazole 200mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Miconazole 250 mg,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Nystatin 500,000 units,",36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Nystatin 100,000 units/ml",450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Nystatin 100,000 units/ml",18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Nystatin 100,000 units",18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Terbinafine 250mg,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Aciclovir 200mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Aciclovir 400 mg,67.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Aciclovir 200 mg/5 ml,558,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Aciclovir 0.05,540,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Aciclovir IV Sodium salt 250mg/vial,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lamivudine 150 mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Ergotamine Tartrate, 2g",45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ergotamine Tartrate + Caffeine 1mg / 100mg,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Pizotifen 0.5mg,  1.5 mg",31.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pizotifen 0.25 mg/ml,1800,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Propranolol 40mg/,8.1,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Dexamethasone 0.5 mg, 4 mg",9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Dexamethasone Sodium PO4, 4 mg/ml",18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Methotrexate (restricted) 2.5 mg,36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Methotrexate (restricted) 50 mg/vial sodium salt,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prednisolone 5 mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Benzhexol 2mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Benzhexol 5 mg (as HCl),4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Biperiden 2mg   (as HCL),2.7,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Biperiden 5mg/ml (as lactate) in 1ml ampoule,36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Levodopa + Carbidopa Levodopa250mg + Carbidopa 25mg,",72,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Levodopa + Carbidopa Levodopa100 mg + Carbidopa 10 mg,63,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Neostigmine (Bromide) 15mg/ml,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Neostigmine 15mg (Bromide),126,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pyridostigmine 60 mg (Bromide),135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chlorhexidine 5%   (Gluconate) for dilution,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chlorhexidine + Cetrimide Cetrimide 15% + 1.5% chlorhexidine gluconate for dilution,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chloroxylenol 5% for dilution,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chloroxylenol 5% for dilution,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Coal tar 0.05,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Compound Tincture of Benzoin (TBC) 0.02,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dichloroxylenol + Chlorophenol ,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Iodine Different Preparations   1%,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Methylated spirit Alcohol vol/vol,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Potassium Permanganate 0.001,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Povidone – iodine 0.1,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Sodium hypochlorite 1-10% (chlorine in different preparations),135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Trichlorophenol Mixture of halogenated phenols and Salicylic acid,513,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Cyanocobalamin/ Hydroxocobalamin 0.05mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Cyanocobalamin/ Hydroxocobalamin 0.25 and 1mg/ml  (injection, Hydroxocobalamin
preferred)",90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ferric Ammonium Citrate 400mg/5ml of Ferric Ammonium citrate,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Ferrous Sulphate 200 mg equivalent to 60mg of Iron,2.7,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Folic Acid 5mg,2.7,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Iron dextran Equiv to 50mg/iron/ml in 2ml amp,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Erythropoeitin 4000 I.U (prefilled syringe),3600,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Enoxaparin 100 mg/ml in 0.4ml (40mg),1080,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Enoxaparin 100 mg/ml in 0.2ml (20mg),765,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Heparin Sodium 5000 units/ml in Ampoule,558,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Heparin Sodium 25,000 units/ml in Ampoule",1080,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Warfarin Sodium 3mg,",27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Warfarin Sodium 5mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Acetylsalicylic acid 75 mg,2.7,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clopidogrel 75mg,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Dextran 70 6% in 5% glucose or normal saline solution (in bottles of
500ml)",900,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Human Albumin (Plasma Protein fraction) 20% in 100ml  vials,8788.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Polygeline 3.5% solution in 500 mls,3150,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atenolol 25mg,7.2,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atenolol 50mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atenolol 100mg,10.8,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atenolol 0.5mg/ml,81,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Glyceryl Trinitrate Sublingual, 0.5mg",27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Isosorbide dinitrate OralSublingual 5 mg,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Isosorbide dinitrate 10mg,63,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Propranolol 40 mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Propranolol 1mg/ml in Ampoule,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amiodarone 200mg,49.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lidocaine 20mg/ml (HCL) in 5ml Ampoule,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Procainamide 250mg (HCL),27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Disopyramide 100 mg, 150 mg",135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Procainamide 100mg in 10mls ampoule,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Propranolol 40mg (Hydrochloride),9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Propranolol 1mg/ml in Ampoule,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amiloride+Hydrochlorothiazide 5mg+ 50mg,6.75,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Bendrofluazide 5mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Furosemide 40mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Furosemide 10mgmi in 2ml ampoule,126,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hydrochlorothiazide 25mg,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hydrochlorothiazide 50mg,7.2,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Spironolactone 25mg,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Spironolactone 50mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Spironolactone 100mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amiloride  + hydrochlorothiazide 0.5mg/25mg,36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amlodipine 5mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amlodipine 10mg,54,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amlodipine + Valsartan + Hydrochlorothiazide 5 mg + 160mg + 12.5mg,234,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Amlodipine + Valsartan 5 mg + 160mg,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atenolol 25mg,7.2,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atenolol 50 mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atenolol 100mg,10.8,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Candesartan cilexetil 8mg,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Candesartan cilexetil 16mg,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Candesartan cilexetil/hydrochlothiazide 16/12.5mg,234,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Captopril 12.5 mg,",13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Captopril 25 mg,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Captopril 50mg,22.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Enalapril 5mg,22.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Enalapril 10mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Felodipine 5mg,72,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Felodipine 10mg,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Hydralazine 25mg,",18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hydralazine 50mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hydralazine 20mg in 1ml Ampoule,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Labetalol 100mg, 200mg",27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Labetalol 5mg/ml in 20ml Ampoule,1260,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lisinopril 2.5mg,63,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lisinopril 5mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lisinopril 10mg,22.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lisinopril + hydrochlorothiazide 20mg/12.5mg,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Methyldopa 250mg,",13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Methyldopa 500mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Nifedipine 20mg,13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Nifedipine 30mg,31.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prazosin 1mg,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prazosin 2mg,22.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prazosin + Polythiazide 0.5mg + 0.25mg (respectively),36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Propranolol (Hydrochloride) 40mg,9,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Resperpine + Dihydroergocristine + Clopamide Reserpine  0.1mg + Dihydroergocristine 0.5mg +
Clopamide 5.0mg",36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Resperpine + Dihydroergocristine
+Hydrochlorothiazide Resperpine 0.1mg+ Dihydroergocristine 0.6mg+",36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Resperpine + Dihydroergocristine
+Hydrochlorothiazide Hydrochlorothiazide 10mg",36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Telmisartan Telmisartan 40mg,117,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Telmisartan Telmisartan 80mg,121.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Telmisartan + Hydrochlorthiazide Telmisartan 40mg/HCTZ 12.5mg,117,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Telmisartan + Hydrochlorthiazide Telmisartan 80mg/HCTZ 12.5mg,121.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Valsatan 80mg,153,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Valsatan 160mg,171,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Valsatan /Hydrochlothiazide 80/12.5mg,153,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Valsatan /Hydrochlothiazide 160/12.5mg,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Valsatan /Hydrochlothiazide 160/25mg,211.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Captopril 12.5 mg, 25 mg",13.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Digoxin 0.0625mg, 0.125mg, 0.25mg",5.4,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Digoxin 0.25mg/ml in 2ml Ampoule, and 0.1mg/ml in 1ml
Ampoule",135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Digoxin 50mg/ml,252,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Dopamine 40mg/ml in 5mls,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artovastatin 10mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Artovastatin 20mg,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Clofibrate 20mg,27,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Fluvastatin 40mg,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Fluvastatin 20mg,171,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Rosuvastatin 40mg,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Rosuvastatin 5mg,171,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Rosuvastatin 10mg,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Rosuvastatin 20mg,144,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Simvastatin 40mg,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Simvastatin 500mg,495,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Benzocaine 10mg,36,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Lidocaine 2% + epinephrine 1 in 80,000 in dental catridge",360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lidocaine ,1800,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prilocaine 3% with Felypressin  0.03 units/mls,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Chorhexetidine 0.001,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Glycerin thymol ,324,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hexetidine 0.001,450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Nystatin 100,000 unit/ml",450,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Zinc Chloride Plus Zinc sulphate 1% Zncl + 2% Zn2 SO4,216,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Triamcinolone 0.001,630,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Aciclovir 0.05,405,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Framycetin 0.01,180,
